001  00332 |Loss: 1.667 | Acc: 37.000% 
001  00333 |Loss: 1.666 | Acc: 37.000% 
001  00334 |Loss: 1.666 | Acc: 37.000% 
001  00335 |Loss: 1.666 | Acc: 37.000% 
001  00336 |Loss: 1.665 | Acc: 37.000% 
001  00337 |Loss: 1.664 | Acc: 37.000% 
001  00338 |Loss: 1.663 | Acc: 37.000% 
001  00339 |Loss: 1.663 | Acc: 37.000% 
001  00340 |Loss: 1.662 | Acc: 37.000% 
001  00341 |Loss: 1.661 | Acc: 37.000% 
001  00342 |Loss: 1.660 | Acc: 38.000% 
001  00343 |Loss: 1.659 | Acc: 38.000% 
001  00344 |Loss: 1.658 | Acc: 38.000% 
001  00345 |Loss: 1.658 | Acc: 38.000% 
001  00346 |Loss: 1.657 | Acc: 38.000% 
001  00347 |Loss: 1.656 | Acc: 38.000% 
001  00348 |Loss: 1.656 | Acc: 38.000% 
001  00349 |Loss: 1.655 | Acc: 38.000% 
001  00350 |Loss: 1.654 | Acc: 38.000% 
001  00351 |Loss: 1.653 | Acc: 38.000% 
001  00352 |Loss: 1.652 | Acc: 38.000% 
001  00353 |Loss: 1.651 | Acc: 38.000% 
001  00354 |Loss: 1.651 | Acc: 38.000% 
001  00355 |Loss: 1.650 | Acc: 38.000% 
001  00356 |Loss: 1.649 | Acc: 38.000% 
001  00357 |Loss: 1.648 | Acc: 38.000% 
001  00358 |Loss: 1.647 | Acc: 38.000% 
001  00359 |Loss: 1.646 | Acc: 38.000% 
001  00360 |Loss: 1.646 | Acc: 38.000% 
001  00361 |Loss: 1.645 | Acc: 38.000% 
001  00362 |Loss: 1.644 | Acc: 38.000% 
001  00363 |Loss: 1.643 | Acc: 38.000% 
001  00364 |Loss: 1.642 | Acc: 38.000% 
001  00365 |Loss: 1.641 | Acc: 38.000% 
001  00366 |Loss: 1.641 | Acc: 38.000% 
001  00367 |Loss: 1.640 | Acc: 38.000% 
001  00368 |Loss: 1.639 | Acc: 38.000% 
001  00369 |Loss: 1.638 | Acc: 38.000% 
001  00370 |Loss: 1.637 | Acc: 38.000% 
001  00371 |Loss: 1.637 | Acc: 38.000% 
001  00372 |Loss: 1.636 | Acc: 38.000% 
001  00373 |Loss: 1.635 | Acc: 38.000% 
001  00374 |Loss: 1.635 | Acc: 39.000% 
001  00375 |Loss: 1.633 | Acc: 39.000% 
001  00376 |Loss: 1.632 | Acc: 39.000% 
001  00377 |Loss: 1.631 | Acc: 39.000% 
001  00378 |Loss: 1.631 | Acc: 39.000% 
001  00379 |Loss: 1.630 | Acc: 39.000% 
001  00380 |Loss: 1.629 | Acc: 39.000% 
001  00381 |Loss: 1.628 | Acc: 39.000% 
001  00382 |Loss: 1.627 | Acc: 39.000% 
001  00383 |Loss: 1.626 | Acc: 39.000% 
001  00384 |Loss: 1.626 | Acc: 39.000% 
001  00385 |Loss: 1.625 | Acc: 39.000% 
001  00386 |Loss: 1.624 | Acc: 39.000% 
001  00387 |Loss: 1.623 | Acc: 39.000% 
001  00388 |Loss: 1.622 | Acc: 39.000% 
001  00389 |Loss: 1.621 | Acc: 39.000% 
001  00390 |Loss: 1.620 | Acc: 39.000% 
001  00391 |Loss: 1.619 | Acc: 39.000% 
002  00392 |Loss: 1.016 | Acc: 65.000% 
002  00393 |Loss: 1.069 | Acc: 61.000% 
002  00394 |Loss: 1.156 | Acc: 59.000% 
002  00395 |Loss: 1.147 | Acc: 59.000% 
002  00396 |Loss: 1.169 | Acc: 58.000% 
002  00397 |Loss: 1.180 | Acc: 57.000% 
002  00398 |Loss: 1.200 | Acc: 57.000% 
002  00399 |Loss: 1.220 | Acc: 56.000% 
002  00400 |Loss: 1.229 | Acc: 55.000% 
002  00401 |Loss: 1.240 | Acc: 55.000% 
002  00402 |Loss: 1.237 | Acc: 54.000% 
002  00403 |Loss: 1.249 | Acc: 54.000% 
002  00404 |Loss: 1.246 | Acc: 54.000% 
002  00405 |Loss: 1.254 | Acc: 54.000% 
002  00406 |Loss: 1.256 | Acc: 54.000% 
002  00407 |Loss: 1.251 | Acc: 54.000% 
002  00408 |Loss: 1.253 | Acc: 54.000% 
002  00409 |Loss: 1.256 | Acc: 54.000% 
002  00410 |Loss: 1.250 | Acc: 54.000% 
002  00411 |Loss: 1.250 | Acc: 54.000% 
002  00412 |Loss: 1.252 | Acc: 54.000% 
002  00413 |Loss: 1.254 | Acc: 54.000% 
002  00414 |Loss: 1.260 | Acc: 54.000% 
002  00415 |Loss: 1.264 | Acc: 54.000% 
002  00416 |Loss: 1.268 | Acc: 53.000% 
002  00417 |Loss: 1.269 | Acc: 53.000% 
002  00418 |Loss: 1.272 | Acc: 53.000% 
002  00419 |Loss: 1.270 | Acc: 53.000% 
002  00420 |Loss: 1.277 | Acc: 53.000% 
002  00421 |Loss: 1.277 | Acc: 53.000% 
002  00422 |Loss: 1.275 | Acc: 53.000% 
002  00423 |Loss: 1.272 | Acc: 53.000% 
002  00424 |Loss: 1.275 | Acc: 53.000% 
002  00425 |Loss: 1.269 | Acc: 54.000% 
002  00426 |Loss: 1.266 | Acc: 54.000% 
002  00427 |Loss: 1.269 | Acc: 54.000% 
002  00428 |Loss: 1.265 | Acc: 54.000% 
002  00429 |Loss: 1.268 | Acc: 54.000% 
002  00430 |Loss: 1.266 | Acc: 54.000% 
002  00431 |Loss: 1.266 | Acc: 54.000% 
002  00432 |Loss: 1.264 | Acc: 54.000% 
002  00433 |Loss: 1.265 | Acc: 53.000% 
002  00434 |Loss: 1.261 | Acc: 53.000% 
002  00435 |Loss: 1.258 | Acc: 54.000% 
002  00436 |Loss: 1.258 | Acc: 54.000% 
002  00437 |Loss: 1.262 | Acc: 54.000% 
002  00438 |Loss: 1.261 | Acc: 53.000% 
002  00439 |Loss: 1.260 | Acc: 53.000% 
002  00440 |Loss: 1.258 | Acc: 53.000% 
002  00441 |Loss: 1.256 | Acc: 53.000% 
002  00442 |Loss: 1.256 | Acc: 53.000% 
002  00443 |Loss: 1.255 | Acc: 54.000% 
002  00444 |Loss: 1.256 | Acc: 53.000% 
002  00445 |Loss: 1.256 | Acc: 53.000% 
002  00446 |Loss: 1.254 | Acc: 53.000% 
002  00447 |Loss: 1.253 | Acc: 54.000% 
002  00448 |Loss: 1.251 | Acc: 54.000% 
002  00449 |Loss: 1.250 | Acc: 54.000% 
002  00450 |Loss: 1.248 | Acc: 54.000% 
002  00451 |Loss: 1.246 | Acc: 54.000% 
002  00452 |Loss: 1.246 | Acc: 54.000% 
002  00453 |Loss: 1.244 | Acc: 54.000% 
002  00454 |Loss: 1.244 | Acc: 54.000% 
002  00455 |Loss: 1.243 | Acc: 54.000% 
002  00456 |Loss: 1.242 | Acc: 54.000% 
002  00457 |Loss: 1.243 | Acc: 54.000% 
002  00458 |Loss: 1.241 | Acc: 54.000% 
002  00459 |Loss: 1.242 | Acc: 54.000% 
002  00460 |Loss: 1.243 | Acc: 54.000% 
002  00461 |Loss: 1.244 | Acc: 54.000% 
002  00462 |Loss: 1.242 | Acc: 54.000% 
002  00463 |Loss: 1.241 | Acc: 54.000% 
002  00464 |Loss: 1.240 | Acc: 54.000% 
002  00465 |Loss: 1.240 | Acc: 54.000% 
002  00466 |Loss: 1.240 | Acc: 54.000% 
002  00467 |Loss: 1.238 | Acc: 54.000% 
002  00468 |Loss: 1.240 | Acc: 54.000% 
002  00469 |Loss: 1.242 | Acc: 54.000% 
002  00470 |Loss: 1.240 | Acc: 54.000% 
002  00471 |Loss: 1.238 | Acc: 55.000% 
002  00472 |Loss: 1.238 | Acc: 54.000% 
002  00473 |Loss: 1.238 | Acc: 54.000% 
002  00474 |Loss: 1.237 | Acc: 54.000% 
002  00475 |Loss: 1.237 | Acc: 55.000% 
002  00476 |Loss: 1.235 | Acc: 55.000% 
002  00477 |Loss: 1.235 | Acc: 55.000% 
002  00478 |Loss: 1.236 | Acc: 55.000% 
002  00479 |Loss: 1.236 | Acc: 55.000% 
002  00480 |Loss: 1.236 | Acc: 55.000% 
002  00481 |Loss: 1.236 | Acc: 55.000% 
002  00482 |Loss: 1.237 | Acc: 55.000% 
002  00483 |Loss: 1.236 | Acc: 55.000% 
002  00484 |Loss: 1.235 | Acc: 55.000% 
002  00485 |Loss: 1.234 | Acc: 55.000% 
002  00486 |Loss: 1.232 | Acc: 55.000% 
002  00487 |Loss: 1.234 | Acc: 55.000% 
002  00488 |Loss: 1.232 | Acc: 55.000% 
002  00489 |Loss: 1.232 | Acc: 55.000% 
002  00490 |Loss: 1.230 | Acc: 55.000% 
002  00491 |Loss: 1.230 | Acc: 55.000% 
002  00492 |Loss: 1.230 | Acc: 55.000% 
002  00493 |Loss: 1.229 | Acc: 55.000% 
002  00494 |Loss: 1.228 | Acc: 55.000% 
002  00495 |Loss: 1.228 | Acc: 55.000% 
002  00496 |Loss: 1.228 | Acc: 55.000% 
002  00497 |Loss: 1.227 | Acc: 55.000% 
002  00498 |Loss: 1.226 | Acc: 55.000% 
002  00499 |Loss: 1.227 | Acc: 55.000% 
002  00500 |Loss: 1.227 | Acc: 55.000% 
002  00501 |Loss: 1.227 | Acc: 55.000% 
002  00502 |Loss: 1.226 | Acc: 55.000% 
002  00503 |Loss: 1.226 | Acc: 55.000% 
002  00504 |Loss: 1.225 | Acc: 55.000% 
002  00505 |Loss: 1.224 | Acc: 55.000% 
002  00506 |Loss: 1.226 | Acc: 55.000% 
002  00507 |Loss: 1.226 | Acc: 55.000% 
002  00508 |Loss: 1.225 | Acc: 55.000% 
002  00509 |Loss: 1.225 | Acc: 55.000% 
002  00510 |Loss: 1.225 | Acc: 55.000% 
002  00511 |Loss: 1.223 | Acc: 55.000% 
002  00512 |Loss: 1.222 | Acc: 55.000% 
002  00513 |Loss: 1.222 | Acc: 55.000% 
002  00514 |Loss: 1.222 | Acc: 55.000% 
002  00515 |Loss: 1.221 | Acc: 55.000% 
002  00516 |Loss: 1.223 | Acc: 55.000% 
002  00517 |Loss: 1.223 | Acc: 55.000% 
002  00518 |Loss: 1.222 | Acc: 55.000% 
